# x rho u P T
6.3909774436e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.4160401003e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.4411027569e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.4661654135e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.4912280702e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.5162907268e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.5413533835e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.5664160401e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.5914786967e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.6165413534e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.6416040100e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.6666666667e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.6917293233e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.7167919799e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.7418546366e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.7669172932e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.7919799499e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.8170426065e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.8421052632e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.8671679198e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.8922305764e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.9172932331e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.9423558897e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
6.9674185464e-01 1.6922134619e+01 1.5485142948e+02 1.0241844849e+06 3.3235742381e+02
